[2026-04-25 23:10:33.828] [info]  splashScreenPreload: signalReady
[2026-04-25 23:10:33.852] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2026-04-25 23:10:33.857] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2026-04-25 23:10:33.859] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2026-04-25 23:10:33.864] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2026-04-25 23:10:33.867] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2026-04-25 23:10:33.871] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2026-04-25 23:10:33.880] [info]  splashScreenPreload: onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2026-04-25 23:10:34.233] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2026-04-25 23:10:34.582] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2026-04-25 23:10:34.590] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2026-04-25 23:10:34.601] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2026-04-25 23:10:34.608] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2026-04-25 23:10:34.612] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2026-04-25 23:10:34.616] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2026-04-25 23:10:34.621] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2026-04-25 23:10:34.630] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2026-04-25 23:10:34.633] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2026-04-25 23:10:34.638] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2026-04-25 23:10:34.642] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2026-04-25 23:10:34.644] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2026-04-25 23:10:34.648] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2026-04-25 23:10:34.652] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2026-04-25 23:10:34.657] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2026-04-25 23:10:34.665] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
